title,author,img_url,series_name,series_position,description,publishedDate,averageRating,pageCount,categories,publisher,language,previewLink,infoLink,isbn_10,isbn_13
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730356i/1582996.jpg,,,"Revisit the magic of the Mortal Instruments with this lavish new Collector's Edition of City of Ashes, which has new cover art, stunning endpapers and a letter from Cassie. A must-have gift for any Shadowhunter fan.Love and power are the deadliest temptations... Haunted by her past, Clary is dragged deeper into New York City's terrifying underworld of demons and Shadowhunters[Bokinfo].",2023-07,0,0,Young Adult Fiction,Unknown,en,"http://books.google.co.in/books?id=Ct6izwEACAAJ&dq=City+of+Ashes+(The+Mortal+Instruments,+%232)+Cassandra+Clare&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=Ct6izwEACAAJ&dq=City+of+Ashes+(The+Mortal+Instruments,+%232)+Cassandra+Clare&hl=&source=gbs_api",1529514169,9781529514162
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664.jpg,,,"Enter the realm of fallen angels and rising passions with this boxed set that includes Hush, Hush, Crescendo, Silence, and Finale. A gripping saga that chronicles the destiny of Nora and Patch from the beginning of their relationship to the dire events ~ and forces ~ that threaten to tear them apart, this collection of all four Hush, Hush books is the perfect present for loyal fans and series newcomers. Praise for Hush, Hush: 'A rollercoaster of twists and turns...a great, new and different novel' Sunday Express 'A fast-paced, exhilarating read...fans of paranormal romance should be rapt' Publishers Weekly 'Absolutely brilliant!' BellaAndEdward.com Praise for Crescendo: 'Dark, sexy and compelling' The Bookseller 'Great sexual tension… hot, tense and moreish' The Bookbag Praise for Silence: 'An action packed suspenseful story that had my eyes glued to the page and tears falling…Silence is another fascinating, memorable, heart-breaking, story.' Dark Readers 'The perfect escape into fantasy and a love that can break all boundaries.' Sugarscape Praise for Finale: 'Finale was everything I hoped it would be and more. I have been a fan of the Hush, Hush series since the beginning and Finale was the perfect, well, finale.' Bookbabblers 'By far my favorite book in the entire series, it brings all of the elements of the story to a fantastic conclusion.' Book Angel Booktopia 'Fitzpatrick is an awesome author, and her writing constantly kept me turning the pages addictively.' Once Upon a Bookcase",2013-12-19,5,1486,Juvenile Fiction,Simon and Schuster,en,"http://books.google.co.in/books?id=CQsKAQAAQBAJ&printsec=frontcover&dq=Hush,+Hush+(Hush,+Hush,+%231)+Becca+Fitzpatrick&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=CQsKAQAAQBAJ&source=gbs_api,1471121615,9781471121616
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637.jpg,,,"Danger intensifies for the Shadowhunters. If the only way to save the world was to destroy what you loved most, would you do it? The clock is ticking. Everyone must choose. Passion. Power. Secrets. Enchantment. Danger closes in around the Shadowhunters in the third and final instalment of the bestselling Infernal Devices trilogy.",2014-01,0,564,Demonology,Unknown,en,"http://books.google.co.in/books?id=o6qNngEACAAJ&dq=Clockwork+Angel+(The+Infernal+Devices,+%231)+Cassandra+Clare&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=o6qNngEACAAJ&dq=Clockwork+Angel+(The+Infernal+Devices,+%231)+Cassandra+Clare&hl=&source=gbs_api",1406357006,9781406357004
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369452339i/3777732.jpg,,,"""Includes a sneak peak at book four of the Mortal instruments, and a chapter from the new prequel series, the Infernal devices""--P. [4] of cover.",2010-08-03,5,576,Juvenile Fiction,Simon and Schuster,en,"http://books.google.co.in/books?id=WabhBQAAQBAJ&printsec=frontcover&dq=City+of+Glass+(The+Mortal+Instruments,+%233)+Cassandra+Clare&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=WabhBQAAQBAJ&dq=City+of+Glass+(The+Mortal+Instruments,+%233)+Cassandra+Clare&hl=&source=gbs_api",1416972250,9781416972259
"Marked (House of Night, #1)",P.C. Cast,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1317067002i/30183.jpg,,,"It seems that (un)life is going pretty well for Zoey Redbird. She's settled in at the House of Night finishing school and is coming to terms with the vast powers the vampyre goddess, Nyx, has given her. She even has a boyfriend ... or two. Best of all, Zoey finally feels she has found somewhere she belongs. Then the unthinkable happens. Human teenagers are being killed, and all the evidence points to the vampires at Zoey's school. While danger stalks the humans from Zoey's past life, she begins to realise that the very powers that made her so unique might also threaten those she loves. Then, when she needs her new friends the most, death strikes the House of Night. Zoey finds herself facing a betrayal that could break her heart and jeopardise the very fabric of her world. - Not suitable for younger readers -",2009-02-05,5,223,Juvenile Fiction,Hachette UK,en,"http://books.google.co.in/books?id=HRTfpOFHwb4C&printsec=frontcover&dq=Marked+(House+of+Night,+%231)+P.C.+Cast&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=HRTfpOFHwb4C&source=gbs_api,0748111344,9780748111343
"Graceling (Graceling Realm, #1)",Kristin Cashore,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331548394i/3236307.jpg,,,"Discover the Graceling Realm in this unforgettable, award-winning novel from bestselling author Kristin Cashore. A New York Times bestseller * ALA Best Book for Young Adults * Mythopoeic Fantasy Award for Children's Literature Winner * Publishers Weekly, School Library Journal, Booklist, and BCCB Best Book of the Year “Rageful, exhilarating, wistful in turns"" (New York Times Book Review) with “a knee weakening romance” (Los Angeles Times). Graceling is a thrilling, action-packed fantasy adventure that will resonate deeply with anyone trying to find their way in the world. Graceling tells the story of the vulnerable-yet-strong Katsa, who is smart and beautiful and lives in the Seven Kingdoms where selected people are born with a Grace, a special talent that can be anything at all. Katsa’s Grace is killing. As the king’s niece, she is forced to use her extreme skills as his brutal enforcer. Until the day she meets Prince Po, who is Graced with combat skills, and Katsa’s life begins to change. She never expects to become Po’s friend. She never expects to learn a new truth about her own Grace—or about a terrible secret that lies hidden far away . . . a secret that could destroy all seven kingdoms with words alone. And don’t miss the sequel Fire and companion Bitterblue, both award-winning New York Times bestsellers featuring Kristin Cashore’s elegant, evocative prose and unforgettable characters. This ebook includes sample chapters of Fire, Bitterblue, and Jane, Unlimited.",2009-09-07,4,485,Young Adult Fiction,HarperCollins,en,"http://books.google.co.in/books?id=6c4to5UOjS0C&dq=Graceling+(Graceling+Realm,+%231)+Kristin+Cashore&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=6c4to5UOjS0C&dq=Graceling+(Graceling+Realm,+%231)+Kristin+Cashore&hl=&source=gbs_api",0547351275,9780547351278
"Frostbite (Vampire Academy, #2)",Richelle Mead,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361098960i/2282133.jpg,,,"St Vladimir's Academy isn't just any boarding school - hidden away, it's a place where vampires are educated in the ways of magic and half-human teens train to protect them. Rose Hathaway is a Dhampir, a bodyguard for her best friend Lissa, a Moroi Vampire Princess. They've been on the run, but now they're being dragged back to St Vladimir's where the girls must survive a world of forbidden romances, a ruthless social scene and terrifying night time rituals. But most of all, staying alive.",2009-05-26,5,309,Juvenile Fiction,Penguin UK,en,"http://books.google.co.in/books?id=e2EI76-_-vIC&dq=Frostbite+(Vampire+Academy,+%232)+Richelle+Mead&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=e2EI76-_-vIC&dq=Frostbite+(Vampire+Academy,+%232)+Richelle+Mead&hl=&source=gbs_api",0141328525,9780141328522
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409283154i/6068551.jpg,,,"Lose yourself in Maggie Stiefvater's NEW YORK TIMES bestselling Shiver series: SHIVER, LINGER, and FOREVER. shiverSam's not just a normal boy -- he has a secret. During the summer he walks and talks as a human, but when the cold comes, he runs with his pack as a wolf. Grace has spent years watching the wolves in the woods behind her house -- but never dreamed that she would fall in love with one of them. Now that they've found each other, the clock ticks down on what could be Grace and Sam's only summer together.lingerCan Grace and Sam last? Each will have to fight to stay together -- whether it means a reckoning with his werewolf past for Sam, or for Grace, facing a future that is less and less certain. Enter Cole, a new wolf who is wrestling with his own demons, embracing the life of a wolf while denying the ties of being human. For Grace, Sam, and Cole, life is harrowing and euphoric, enticing and alarming. As their world falls apart, love is what lingers. But can it be enough?",2011-07-12,5,1140,Young Adult Fiction,Scholastic Inc.,en,"http://books.google.co.in/books?id=abcsSIWWXKYC&printsec=frontcover&dq=Shiver+(The+Wolves+of+Mercy+Falls,+%231)+Maggie+Stiefvater&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=abcsSIWWXKYC&source=gbs_api,0545387671,9780545387675
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334491180i/852470.jpg,,,"As a sophomore at a secret spy school and the daughter of a former CIA operative, Cammie is sheltered from ""normal teenage life"" until she meets a local boy while on a class surveillance mission",2010,4,0,Boarding school students,Unknown,en,"http://books.google.co.in/books?id=2Pu4PwAACAAJ&dq=I%27d+Tell+You+I+Love+You,+But+Then+I%27d+Have+to+Kill+You+(Gallagher+Girls,+%231)+Ally+Carter&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=2Pu4PwAACAAJ&dq=I%27d+Tell+You+I+Love+You,+But+Then+I%27d+Have+to+Kill+You+(Gallagher+Girls,+%231)+Ally+Carter&hl=&source=gbs_api",1408309513,9781408309513
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1723393514i/4556058.jpg,,,"The fifth book in the bestselling Percy Jackson and the Olympians series - now as a graphic novel! Discover the story behind the Disney+ series. Most people get presents on their sixteenth birthday. I get a prophecy that could save or destroy the world. It happens when you're the son of Poseidon, God of the Sea. According to an ancient prophecy, I turn sixteen and the fate of the entire world is on me. But no pressure. Now Kronos, Lord of the Titans, is beginning his attack on New York City. And the dreaded monster Typhon is also heading our way. So it's me and forty of my demi-god friends versus untold evil . . . Return to the World of Percy Jackson in the best-selling, brand-new adventure featuring the original hero in Percy Jackson and the Olympians: Chalice of the Gods – out now! And don't miss the trio's next adventure in Percy Jackson and the Olympians: Wrath of the Triple Goddess, coming soon!",2019-08-15,0,132,Juvenile Fiction,Penguin UK,en,"http://books.google.co.in/books?id=kIJ6DwAAQBAJ&printsec=frontcover&dq=The+Last+Olympian+(Percy+Jackson+and+the+Olympians,+%235)+Rick+Riordan&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=kIJ6DwAAQBAJ&source=gbs_api,0241342910,9780241342916
