title,author,img_url,series_name,series_position,description,publishedDate,averageRating,pageCount,categories,publisher,language,previewLink,infoLink,isbn_10,isbn_13
"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1689809645i/52857700.jpg,,,"The second instalment of the GLOBAL PHENOMENON, romantic fantasy epic and TikTok sensation, ACOTAR. From multi-million and #1 Sunday Times bestselling author Sarah J. Maas. Maas has established herself as a fantasy fiction titan - Time Think Game of Thrones meets Buffy the Vampire Slayer with a drizzle of E.L. James – Telegraph Spiced with slick plotting and atmospheric world-building ... a page-turning delight – Guardian Sarah J. Maas does not disappoint ... To be devoured with relish – Mail ****** Feyre survived Amarantha's clutches to return to the Spring Court – but at a steep cost. Though she now possesses the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people. Nor has Feyre forgotten her bargain with Rhysand, the mesmerising High Lord of the feared Night Court. As Feyre navigates his dark web of political games and tantalising promises, a greater evil looms – and she might be key to stopping it. But only if she can step into her growing power, heal her fractured soul and have the courage to shape her own future – and the future of a world cloven in two. Sarah J. Maas is a global #1 bestselling author. Her books have sold more than nine million copies and been translated into 38 languages. Discover the sweeping romantic fantasy for yourself.",2016-05-03,4.5,678,Fiction,Bloomsbury Publishing,en,"http://books.google.co.in/books?id=LtEkCwAAQBAJ&printsec=frontcover&dq=House+of+Flame+and+Shadow+(Crescent+City,+%233)+Sarah+J.+Maas&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=LtEkCwAAQBAJ&source=gbs_api,1408857898,9781408857892
"Ruthless Vows (Letters of Enchantment, #2)",Rebecca   Ross,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684911482i/127280062.jpg,,,TORN APART BY WAR. REUNITED BY LOVE?,2023-12-26,0,484,Fiction,HarperCollins UK,en,"http://books.google.co.in/books?id=mfnLEAAAQBAJ&printsec=frontcover&dq=Ruthless+Vows+(Letters+of+Enchantment,+%232)+Rebecca+++Ross&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=mfnLEAAAQBAJ&source=gbs_api,0008588244,9780008588243
"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1724944713i/203578847.jpg,,,No description available,2011-05,0,576,,Tor Books,en,"http://books.google.co.in/books?id=mEygPQAACAAJ&dq=Wind+and+Truth+(The+Stormlight+Archive,+%235)+Brandon+Sanderson&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=mEygPQAACAAJ&dq=Wind+and+Truth+(The+Stormlight+Archive,+%235)+Brandon+Sanderson&hl=&source=gbs_api",0765360055,9780765360052
"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731714752i/183086339.jpg,,,"OVER 8 MILLION COPIES SOLD. THE GLOBAL BESTSELLER AND TIKTOK SENSATION! ""Addictive, intense, and oozing with romance” Lauren Kate, Fallen ""Dangerous, sexy, romantic and intense! Kami Garcia, Beautiful Creatures “My favourite series of all time” Goodreads review “Perfection” TikTok review",2018-03-06,0,291,Young Adult Fiction,HarperCollins UK,en,"http://books.google.co.in/books?id=MuCiEAAAQBAJ&pg=PP1&dq=Reckless+(The+Powerless+Trilogy,+%232)+Lauren++Roberts&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=MuCiEAAAQBAJ&source=gbs_api,1780318685,9781780318684
"The Prisoner’s Throne (The Stolen Heir Duology, #2)",Holly Black,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1686847098i/75673879.jpg,,,"Discover the dark and seductive realm of faerie in the first book of the critically acclaimed Modern Faerie Tales series from the bestselling author of The Cruel Prince – Holly Black. Kaye is used to drifting from place to place with her mother’s rock band, until an ominous attack forces them back to her childhood home. Kaye’s always had the unique ability to see faeries, so when she stumbles upon an injured faerie knight in the woods, she decides to save him. But this fateful choice has dire consequences, as she soon finds herself the unwilling pawn in an ancient and violent power struggle between two rival faerie kingdoms. Will Kaye escape with her life?",2012-09-27,4,267,Juvenile Fiction,Simon and Schuster,en,"http://books.google.co.in/books?id=s5CPTJAJQXoC&printsec=frontcover&dq=The+Prisoner%E2%80%99s+Throne+(The+Stolen+Heir+Duology,+%232)+Holly+Black&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=s5CPTJAJQXoC&dq=The+Prisoner%E2%80%99s+Throne+(The+Stolen+Heir+Duology,+%232)+Holly+Black&hl=&source=gbs_api",1471116220,9781471116223
"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1683734080i/127305713.jpg,,,"Kristen Ciccarelli’s debut fantasy explores an intricately woven world of deception, inner darkness, and dragons that fantasy fans won’t be able to resist. In the beginning, there was the Namsara: the child of sky and spirit, who carried love and laughter wherever he went. But where there is light, there must be darkness—and so there was also the Iskari. The child of blood and moonlight. The destroyer. The death-bringer. These are the legends that Asha, daughter of the king of Firgaard, has grown up learning in hushed whispers, drawn to the forbidden figures of the past. But it isn’t until she becomes the fiercest, most feared dragon slayer in the land that she takes on the role of the next Iskari—a lonely destiny that leaves her feeling more like a weapon than a girl. Asha conquers each dragon and brings its head to the king, but no kill can free her from the shackles that await at home: her betrothal to the cruel commandant, a man who holds the truth about her nature in his palm. When she’s offered the chance to gain her freedom in exchange for the life of the most powerful dragon in Firgaard, she finds that there may be more truth to the ancient stories than she ever could have expected. With the help of a secret friend—a slave boy from her betrothed’s household—Asha must shed the layers of her Iskari bondage and open her heart to love, light, and a truth that has been kept from her.",2017-10-03,0,432,Young Adult Fiction,HarperTeen,en,"http://books.google.co.in/books?id=83VJMQAACAAJ&dq=Heartless+Hunter+(The+Crimson+Moth,+%231)+Kristen+Ciccarelli&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=83VJMQAACAAJ&dq=Heartless+Hunter+(The+Crimson+Moth,+%231)+Kristen+Ciccarelli&hl=&source=gbs_api",0062567985,9780062567987
The Little Shop of Grand Curiosities,Iris Lake,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1708085063i/208617017.jpg,,,No description available,2024,0,0,Love,Unknown,en,http://books.google.co.in/books?id=yD0e0QEACAAJ&dq=The+Little+Shop+of+Grand+Curiosities+Iris+Lake&hl=&cd=1&source=gbs_api,http://books.google.co.in/books?id=yD0e0QEACAAJ&dq=The+Little+Shop+of+Grand+Curiosities+Iris+Lake&hl=&source=gbs_api,,9798874320812
"Find Me Between the Stars (Meet Me in the Ether, #2)",Iris Lake,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1725614222i/218546689.jpg,,,"Drinking water provides an efficient source for the spread of gastrointestinal microbial pathogens capable of causing serious human disease. The massive death toll and burden of disease worldwide caused by unsafe drinking water is a compelling reason to value the privilege of having safe drinking water delivered to individual homes. On rare occasions, that privilege has been undermined in affluent nations by waterborne disease outbreaks traced to the water supply. Using the rich and detailed perspectives offered by the evidence and reports from the Canadian public inquiries into the Walkerton (2000) and North Battleford (2001) outbreaks to develop templates for understanding their key dimensions, over 60 waterborne outbreaks from 15 affluent countries over the past 30 years are explored as individual case studies. Recurring themes and patterns are revealed and the critical human dimensions are highlighted suggesting insights for more effective and more individualized preventive strategies, personnel training, management, and regulatory control. Safe Drinking Water aims to raise understanding and awareness of those factors that have most commonly contributed to or caused drinking-water-transmitted disease outbreaks - essentially a case-history analysis within the multi-barrier framework. It contains detailed analysis of the failures underlying drinking-water-transmitted disease epidemics that have been documented in the open literature, by public inquiry, in investigation reports, in surveillance databases and other reliable information sources. The book adopts a theme of 'converting hindsight into foresight', to inform drinking-water and health professionals including operators, managers, engineers, chemists and microbiologists, regulators, as well as undergraduates and graduates at specialty level. Key Features: Contains details and perspectives of major outbreaks not widely known or understood beyond those directly involved in the investigations. Technical and scientific background associated with case studies is offered in an accessible summary form. Does not require specialist training or experience to comprehend the details of the numerous outbreaks reviewed. By providing a broad-spectrum review using a consistent approach, several key recurring themes are revealed that offer insights for developing localized, tailor-made prevention strategies.",2004-05-31,3,501,Science,IWA Publishing,en,"http://books.google.co.in/books?id=KhiKu7nyCD0C&printsec=frontcover&dq=Find+Me+Between+the+Stars+(Meet+Me+in+the+Ether,+%232)+Iris+Lake&hl=&cd=1&source=gbs_api","http://books.google.co.in/books?id=KhiKu7nyCD0C&dq=Find+Me+Between+the+Stars+(Meet+Me+in+the+Ether,+%232)+Iris+Lake&hl=&source=gbs_api",1843390426,9781843390428
A Fragile Enchantment,Allison Saft,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1683815235i/127305900.jpg,,,"An unforgettable YA regency-inspired romantic fantasy about a seamstress who is sent to dress the prince for his royal wedding - and the scandal she weaves in her wake. All Niamh has longed for is to be remembered: to create something that will last far longer than she will. For her, that means becoming a renowned dressmaker, using the magic in her blood that lets her stitch emotions and memories into fabric - the same magic that will eventually kill her. When Niamh is commissioned to design the prince's wardrobe for a royal wedding in Avaland, she knows she finally has her chance to leave her legacy. But Avaland is far from the fairytale that she imagined. While nobles and the elite attend extravagant balls and candlelit garden parties, unrest brews amid the working class. Niamh finds herself drawn to Kit, the prince whom she must dress for his wedding, despite his cold, prickly demeanour. And soon, a gossip column reports on their undeniable chemistry between them, threatening scandal. Niamh must decide if reputation should come above all else, whether her magic curse will allow her to experience love, and what cost she is willing to pay for a future she never thought possible... Threaded with intrigue and unforgettable characters, A Fragile Enchantment is a sweeping romance for the ages.",2024-01-04,0,345,Young Adult Fiction,Hachette UK,en,http://books.google.co.in/books?id=NNXGEAAAQBAJ&pg=PT341&dq=A+Fragile+Enchantment+Allison+Saft&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=NNXGEAAAQBAJ&source=gbs_api,151011212X,9781510112124
"The Devils (The Devils, #1)",Joe Abercrombie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1716490016i/212276037.jpg,,,"'Delightfully twisted and evil' GUARDIAN 'Highly recommended ... seek it out' Joe Hill Inquisitor Glokta, a crippled and increasingly bitter relic of the last war, former fencing champion turned torturer extraordinaire, is trapped in a twisted and broken body - not that he allows it to distract him from his daily routine of torturing smugglers. Nobleman, dashing officer and would-be fencing champion Captain Jezal dan Luthar is living a life of ease by cheating his friends at cards. Vain, shallow, selfish and self-obsessed, the biggest blot on his horizon is having to get out of bed in the morning to train with obsessive and boring old men. And Logen Ninefingers, an infamous warrior with a bloody past, is about to wake up in a hole in the snow with plans to settle a blood feud with Bethod, the new King of the Northmen, once and for all - ideally by running away from it. But as he's discovering, old habits die really, really hard indeed... ...especially when Bayaz gets involved. A bald old man with a terrible temper and a pathetic assistant, he could be the First of the Magi, he could be a spectacular fraud, but whatever he is, he's about to make the lives of Glotka, Jezal and Logen a whole lot more difficult...",2009-06-18,4,654,Fiction,Hachette UK,en,"http://books.google.co.in/books?id=pvVSwRWXerEC&printsec=frontcover&dq=The+Devils+(The+Devils,+%231)+Joe+Abercrombie&hl=&cd=1&source=gbs_api",https://play.google.com/store/books/details?id=pvVSwRWXerEC&source=gbs_api,0575091509,9780575091504
