title,url,author,language,words,chapters,summary,tags
Dark Matter,https://archiveofourown.org/works/30153540,mysterycyclone,English,241043,46,"The last thing Peter sees is Tony's horrified, heartbroken expression leaning over him. The guilt in his eyes is almost worse than the burning pain that's taking Peter apart piece by piece. The world starts to go dark.There's a flash of gold and green. For one moment, he finds himself standing amongst the Guardians and others. And then darkness again. It feels like blinking; an extended period of nothingness that ends as abruptly as it begins. One moment there’s nothing, the next there’s light.“Easy,” a woman says. Her words are gentle, and carry a slight accent that he can’t place. ""I'm called Wonder Woman. What's your name?""","Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, Peter Parker & Tony Stark, Peter Parker & Avengers Team, Clark Kent & Peter Parker, Diana (Wonder Woman) & Peter Parker, Peter Parker & Bruce Wayne, Dick Grayson & Peter Parker, Gotham City & Peter Parker, Tim Drake & Peter Parker, Batman & Spiderman, Peter Parker, Bruce Wayne, Jason Todd, Dick Grayson, Duke Thomas, Tim Drake, Not Avengers: Endgame (Movie) Compliant, Post-Avengers: Infinity War Part 1 (Movie), Soul Stone (Marvel) - Freeform, wherein Peter accidentally steals the soul stone, with several interesting consequences to follow, Homeless Peter Parker, Peter Parker Whump, Dimension Travel, Crossovers & Fandom Fusions, Angst and Humor, BAMF Peter Parker, Found Family"
The Third Option,https://archiveofourown.org/works/16023554,Uncertainty_Principle,English,220959,37,"Homecoming AU.Ben and May divorced before Peter’s parents died, so when Ben is murdered Peter goes into foster care. It takes just a tiny taste of superpowers for Peter to decide he doesn’t want to put up with his horrible foster father anymore—the streets are infinitely more appealing. All he wants is to be Spider-Man anyway.So he leaves.Simple.Simple, that is, until Iron Man needs Spider-Man’s help. Peter isn’t about to turn down an opportunity to fight alongside Tony Freaking Stark, but he also isn’t going to let his hero know that his recruit is a fifteen-year-old homeless dropout. So they strike a deal. Peter will help Tony. In return, the mask stays on.And that’s when things get complicated.","Rape/Non-Con, Ben Parker & Peter Parker, May Parker & Peter Parker, Tony Stark & Peter Parker, Peter Parker, Tony Stark, Ned Leeds, Michelle Jones, May Parker, Pepper Potts, Ben Parker, Skip Westcott, Hurt/Comfort, Emotional Hurt/Comfort, Sexual Abuse, Emotional Abuse, Physical Abuse, Alternate Universe, Alternate version of CACW and Homecoming, previously posted under signofthree, signofthree, I'm trying to stop systematically dismantling my life but I do it anyway, Hurt Peter Parker, he's still a hardcore hero though, unfair depictions of the foster care system, most foster parents are angels, these are not, Secret Identity, Identity Reveal, Slow Build, Disordered Eating, Homeless Peter Parker"
Astronomy In Reverse,https://archiveofourown.org/works/12968454,pansley,English,184784,25,"A year after the Winter Soldier failed his mission in DC, Bucky Barnes is doing his best to stay under the radar from both Hydra and Steve Rogers. His hope for a peaceful day-to-day life in limbo goes awry, however, when he meets Queens’ newest hero; a pure-hearted kid with a death wish and a ridiculous pair of red and blue pajamas.The last thing Steve expects when he finally tracks Bucky down is that, not only has the man been living in Queens all this time, right under his nose, but also that, in the two years since they last saw each other, Bucky somehow acquired a kid.Alternatively: How Peter Parker effectively fucks over Bucky Barnes, and also totally saves him. 
Fanart by  Monireh on AO3 and tumblr","No Archive Warnings Apply, James ""Bucky"" Barnes/Steve Rogers, James ""Bucky"" Barnes & Peter Parker, Peter Parker & Tony Stark, Peter Parker & Steve Rogers, James ""Bucky"" Barnes & Tony Stark, James ""Bucky"" Barnes, Peter Parker, Steve Rogers, Tony Stark, T'Challa (Marvel), James ""Rhodey"" Rhodes, Sam Wilson (Marvel), Baron Zemo, Gratuitous Superfamily, Becoming a family, Hydra being a dick, Peter is canonly adorkable, Protective Bucky Barnes, Protective Peter Parker, unfair representation of the foster care system, Fluff, canon amount of angst, amateur (but effective) equine therapy, Civil War Fix-It, bucky is a good dad, Peter is a good kid, Steve is a good boyfriend, Tony is a good friend, and also kind of a sugar daddy, without benefits, Hero Worship, Peter is majorly stanning everybody in this fic and it's cute, world's most adorable basketball"
Constant Internal [Spider] Screaming: Semi-Connected Scenes from a Graduating Senior’s Life,https://archiveofourown.org/works/20463974,isaDanCurtisproduction,English,141489,17,"When Peter's Teacher announces that his Graduating Class's Senior Trip is going to be to Stark Industries, the place where Peter has an internship, and where he spends so much of his free time, he is... less than enthused. No one believes his Internship is real and frankly, he just doesn't want to deal with it, but between May and Mr. Stark, he doesn't really think he's going to get much of a choice.He's going to have to goAt least Ned is excited about it.And hey, he has a month till the actual day, maybe he'll fall into a pit or get carried away by a stork-themed villain or fall into a Coma or something before the dreaded Field Trip","No Archive Warnings Apply, Peter Parker & Tony Stark, Ned Leeds & Peter Parker, Peter Parker & Michelle Jones, May Parker (Spider-Man) & Peter Parker, Peter Parker & Avengers Team, Peter Parker, Tony Stark, Ned Leeds, Michelle Jones, May Parker (Spider-Man), Pepper Potts, Avengers Team (MCU), Flash Thompson, Happy Hogan, Field Trip, Peter Parker's Field Trip to Stark Industries, Father-Son Relationship, Peter Parker is a Mess, Tony Stark is a Good Mentor, Intern Peter Parker, Happy, Stressed Peter Parker, Avengers Family, Avengers Tower, Domestic Avengers, Identity Reveal, Secret Identity, Stark Industries, Gen Work, No Romance, The Avengers Are Good Bros, Post-Spider-Man: Homecoming, Not Spider-Man: Far From Home Compliant, Not Captain America: Civil War (Movie) Compliant, Senior Year Peter Parker, Alternate Universe - Canon Divergence, Protective Tony Stark, Infinity War What is that?, Tony Stark Has a Heart, Interns & Internships, Ned Leeds is a Good Bro, BAMF Michelle Jones, Best Friends, Not copy to another site, Don't copy to another site"
Holly Potter and the Midlife Crisis,https://archiveofourown.org/works/17946929,Enigmaris,English,392453,80,"“The first group I sent over made the Avengers uncomfortable by thanking them constantly and asking for autographs. The next group stole things to sell on ebay. The group after that didn’t even get through the front door because Stark’s security system found something in their background that we missed. The fourth group left traumatized after cleaning out Thor’s room, apparently the god had some beheaded poultry dripping blood into a bowl in there. Then after that every group I’ve left hasn’t lasted more than three days because of some problem or another. I’m pretty sure one of those assholes has made it a game to scare my workers away.”“I don’t think you’re supposed to call the heroes of New York assholes.”Or, cleaning up after the Avengers involves more than just getting blood stains out of the carpet and most of them can't take the heat. Thankfully the Savior of the Wizarding has spent the last decade cleaning up after Death Eaters, so she's up to the task. Nothing, not pranks, bird corpses, or unidentified slime will keep her from cleaning up.  This Fic is now complete!","No Archive Warnings Apply, Harry Potter, Thor (Marvel), Loki (Marvel), Steve Rogers, Clint Barton, Natasha Romanov (Marvel), Tony Stark, Bruce Banner, Teddy Lupin, Hermione Granger, Ron Weasley, Jarvis (Iron Man movies), Thanos (Marvel), James ""Bucky"" Barnes, The Black Order (Marvel), Death (Harry Potter), Sam Wilson (Marvel), Peggy Carter, James Potter, Lily Evans Potter, Sirius Black, Remus Lupin, Nymphadora Tonks, Original Potter Family Characters (Harry Potter), Hela (Marvel), Odin (Marvel), Frigga | Freyja (Marvel), Sif (Marvel), Ralston Potter, Lila Barton, Female Harry Potter, Post-Avengers (2012), Canon Divergence - Post-Avengers (2012), Avengers Tower, The Avengers Are Good Bros, I renamed Harry, She's Holly now, Pranks and Practical Jokes, The Savior of the Wizarding World needs a vacation, and therapy, Ever wonder who cleans Avengers Tower?, Now you don't have to, Thor's Hammer - Freeform, Is Loki Innocent?, Maybe - Freeform, Does it matter?, Midlife Crisis, Jarvis deserves a friend, Bisexual Harry Potter, infinity war arc but better, Cosmic Entities, Comic book elements, Therapy, seriously, They need therapy and they get it, Wholesome, Hurt/Comfort, Happy Ending, Hogwarts, Found Family, Seriously so much found family, complete fic, happy endings"
Such Sweet Revenge,https://archiveofourown.org/works/15146219,ali_aliska,English,167714,36,"When the Rogues are back in the States after being pardoned, the New Avengers want nothing to do with them and as far as Tony is concerned, if he never speaks to them again, it'll be too soon. After all, he didn't spend the last year putting himself (and his family) back together only for his former co-workers to ruin all of his hard work.But then he gets a hand-written letter from the Winter Soldier himself, apologizing for the events that transpired and an off-handed comment from Rhodey about Rogers failing to take care of an obviously miserable Bucky Barnes sets in motion Tony's new, oh-so-evil plan to get some payback.After all, what better revenge than to steal the Winter Soldier away from his best friend?The only problem: Tony sucks at being vengeful, but apparently he's an expert at inadvertently falling in love.","No Archive Warnings Apply, James ""Bucky"" Barnes/Tony Stark, Tony Stark, James ""Bucky"" Barnes, Appearances by Most of MCU Characters, Post-Captain America: Civil War (Movie), Team Iron Man, not team Cap friendly, Tony Stark Has a Heart, Bucky Barnes Needs a Hug, Bucky Barnes Gets a Hug, Enemies to Friends to Lovers, Falling In Love, Slow Burn, Hurt/Comfort, Insecurity, Insecure Bucky Barnes, Protective Tony Stark, Additional Warnings In Author's Note, Mature Sexual Content, Pining, Not Steve Rogers Friendly, Not Clint Barton Friendly, Not Wanda Maximoff Friendly, Instances of Panic Attacks, Insecure Tony Stark, Unrepentant Wanda Maximoff, Steve Rogers is Living in the Past, Bucky Barnes Angst, Bucky Barnes is Miserable and Lonely, Bucky Barnes Needs to be Loved and Accepted, Tony Stark To The Rescue, Well Adjusted Tony Stark, mostly - Freeform, BAMF Tony Stark, James Rhodes Is a Good Bro, Reformed Loki, Background Loki/Strange"
On Punching Gods and Absentee Dads,https://archiveofourown.org/works/17926664,Enigmaris,English,246843,56,"Harry finds out that his dad is alive, has been the whole time. Instead of being overjoyed, Harry's disgusted. His dad left earth and abandoned his friends. Every painful thing he's ever gone through can be traced back to one man. Now Harry's got super strength he can't control and an almost unnecessary amount of magical power. His dad might be living it up with the Avengers now but not for long. With the help of his friends, Harry comes up with a plan for revenge. Get ready Avengers, Harry's out to punch a god.","No Archive Warnings Apply, Harry Potter, Hermione Granger, Ron Weasley, Loki (Marvel), Thor (Marvel), Tony Stark, Lily Evans Potter, Albus Dumbledore, Natasha Romanov (Marvel), Clint Barton, Bruce Banner, Sirius Black, Remus Lupin, James Potter, Fatherhood, Dealing with your trauma by punching a god, Forgiveness, Lies, Prophecy, Loki works with the Avengers, Harry Potter is Loki (Marvel)'s Child, James Potter Lives, Sirius Black deserved better, Manipulative Albus Dumbledore, Angst, Humor, Lily Evans is perfect, Genius Hermione Granger, Harry doesn't trust adults, but can you blame him?, Protect Harry Potter, Canon Divergence - Post-Harry Potter and the Order of the Phoenix, Demigod Harry Potter, I've been told this is wholesome, happy endings, complete fic, The Golden Trio"
The War is Far From Over Now,https://archiveofourown.org/works/10799406,Dont_call_me_Carrie,English,152044,45,"The world keeps pushing him, demanding, because what he did wasn't enough. Genius, billionaire, playboy, philanthropist, but that wasn't enough, wasn't ever enough. Tony Stark was tired. But he had a planet to protect, even if everyone laughed at him whenever the prospect of alien invasions was brought up. He could count on one hand how many people he could trust, which was disheartening but then, what else was new?  Or,  In which Tony does not, in fact, intend to take over the world....unfortunately, everyone else missed that particular memo. [gradual divergence from canon, starting at the end of Iron Man 3. In which it's Tony's self-awareness, rather than his support system, that becomes a cryptid sometime during Phase II.]","Graphic Depictions Of Violence, Jarvis (Iron Man movies) & Tony Stark, Pepper Potts & Tony Stark, James ""Rhodey"" Rhodes & Tony Stark, past Tony Stark & the Avengers, Maria Hill & Tony Stark, Nick Fury & Tony Stark, Tony Stark, Jarvis (Iron Man movies), Bruce Banner, Pepper Potts, James ""Rhodey"" Rhodes, Steve Rogers, Thor (Marvel), Natasha Romanov (Marvel), Clint Barton, Scott Lang, Wanda Maximoff, Stark Industries' Legal Department, SHIELD Agents & Staff, Maria Hill, Nick Fury, Stark Industries - Character, Peter Parker, Alternate Universe - Canon Divergence, Protective Jarvis (Iron Man movies), BAMF JARVIS, Unreliable Narrator, Codependency, Mental Health Issues, Tony Stark Has Issues, Dubious Morality, Unhealthy Relationships, Unhealthy Coping Mechanisms, Loss of Trust, Jarvis (Iron Man movies) Lives, Jarvis (Iron Man movies) is a Good Bro, Rhodey Is a Good Bro, Awesome Pepper Potts, BAMF everyone, BAMF SI Legal Team, Not Team Captain America Friendly, Not Avengers friendly, Civil War Team Iron Man, World Domination, with a side of crack at the end, Accidental World Domination, Fix-It of Sorts, Fix-It via Accidental World Domination, Other Additional Tags to Be Added, Accidental Overlord Tony Stark, Miscommunication, BAMF Stark Industries, Tags May Change, Crack Treated Seriously, Don't copy to another site"
The Long Road Begins at Home,https://archiveofourown.org/works/5339822,owlet,English,144847,50,"Oh sure, reunion results in happiness, kittens, and rainbows, because that's definitely how life goes when you've just spent 70 years as a tool of villainy. I mean, what could possibly go wrong?","Creator Chose Not To Use Archive Warnings, James ""Bucky"" Barnes & Steve Rogers, Steve Rogers/Peggy Carter (past), James ""Bucky"" Barnes, Steve Rogers, Old People Brigade - Character, Natasha Romanov, Sam Wilson (Marvel), Maria Hill, Clint Barton, Tony Stark, Pepper Potts, Bruce Banner, Thor (Marvel), Jane Foster (Marvel), Darcy Lewis, James Rhodes, The Olds - Character, Cat Eleanor - Character, Peggy Carter, Recovery, cursing, Post-Traumatic Stress Disorder - PTSD, Sarcasm, Internal dialog like whoa, Angst and Humor, How happy am I that there's actually an ""angst and humor"" tag, Let's pretend AoU never happened, My headcanon is a kinder universe than the MCU, Dissociation, Old People Brigade, Sam Wilson is a Gift"
Peter the Pizza Guy,https://archiveofourown.org/works/37223179,Irisen,English,205833,39,"Strange’s second spell does not have anything to do with memory. Maybe Peter should have expected it, as the previous one acted in the same way.Instead of erasing the memories of the ones he loves across the world, the incantation plucked him from his universe, erasing all traces of his existence, and threw him into a new one.Now seventeen, having lost his family and friends, he finds himself in a strange world, alone in one of the most dangerous cities across all dimensions. Or : Peter needs money to survive Gotham and picks up a pizza delivery job. Spider-Man/DCU (Specifically Batman) Crossover 
Do not repost to monetized websites like webnovel","Graphic Depictions Of Violence, Jason Todd & Peter Parker, Pamela Isley & Peter Parker, Batfamily Members & Peter Parker, Peter Parker, Jason Todd, Harley Quinn, Batman’s roster of villains, Dick Grayson, Barbara Gordon, Pamela Isley, Jim Gordon, Original civilian characters, Post-Spider-Man: No Way Home (Movie), Dimension Travel, Crossovers & Fandom Fusions, Peter Parker is 17, Temporary Homelessness, Canon-Typical Violence, Secret Identity, Many of them, Peter-centric, No other marvel character, Pizza, Drama, Gotham Typical Doom and Gloom, Not Beta Read, Grief, Unhealthy Coping Mechanisms, Background Ivy/Harley, Cage Fights, Alternate Universe - Canon Divergence, Body Horror, Friendship, Batfamily Drama (DCU), Unreliable Narrator, Action"
